City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
porto novo,6.4965,2.6036,76.82,overcast clouds,0.0,0.0,81,98,6.64,BJ
dabhol,17.6,73.1667,78.03,overcast clouds,0.0,0.0,84,100,2.84,IN
ayabaca,-4.6398,-79.7149,46.45,broken clouds,0.0,0.0,84,57,3.65,PE
inhambane,-23.865,35.3833,66.49,clear sky,0.0,0.0,85,6,2.66,MZ
san juan,-31.5375,-68.5364,52.92,clear sky,0.0,0.0,35,0,2.24,AR
ambilobe,-13.2,49.05,64.02,clear sky,0.0,0.0,73,1,4.9,MG
pangody,65.85,74.4859,45.0,overcast clouds,0.0,0.0,84,100,6.35,RU
ufimskiy,56.7084,58.0517,56.44,clear sky,0.0,0.0,89,3,3.04,RU
tandalti,13.0167,31.8667,76.5,overcast clouds,0.0,0.0,70,99,9.98,SD
marzuq,14.4,46.4667,73.56,scattered clouds,0.0,0.0,67,25,8.43,YE
nador,35.174,-2.9287,77.25,scattered clouds,0.0,0.0,88,40,4.61,MA
sawtell,-30.3833,153.1,66.22,broken clouds,0.0,0.0,63,75,17.27,AU
tura,25.5198,90.2201,80.2,light rain,1.0,0.0,89,99,2.04,IN
sorland,67.667,12.6934,51.66,overcast clouds,0.0,0.0,90,100,21.03,NO
le vauclin,14.5452,-60.8388,81.84,broken clouds,0.0,0.0,83,75,12.66,MQ
birao,10.2849,22.7882,70.18,overcast clouds,0.0,0.0,94,99,3.29,CF
bubaque,11.2833,-15.8333,78.64,light rain,0.34,0.0,85,100,18.59,GW
mpika,-11.8343,31.4529,52.14,clear sky,0.0,0.0,79,6,6.15,ZM
asau,46.4333,26.4,60.28,clear sky,0.0,0.0,52,0,5.23,RO
boaco,12.4722,-85.6586,72.12,overcast clouds,0.0,0.0,91,96,4.7,NI
fjerritslev,57.0813,9.2664,60.66,overcast clouds,0.0,0.0,90,92,12.62,DK
kichera,55.9375,110.0997,65.66,overcast clouds,0.0,0.0,75,100,5.95,RU
lagoa,39.05,-27.9833,70.93,overcast clouds,0.0,0.0,91,100,5.66,PT
kota kinabalu,5.9749,116.0724,87.78,few clouds,0.0,0.0,70,20,3.44,MY
san cristobal,7.7669,-72.225,73.58,overcast clouds,0.0,0.0,98,99,2.91,VE
pemangkat,1.1667,108.9667,78.75,overcast clouds,0.0,0.0,87,100,11.12,ID
cidreira,-30.1811,-50.2056,62.82,overcast clouds,0.0,0.0,92,100,0.36,BR
grindavik,63.8424,-22.4338,53.55,light intensity drizzle,0.0,0.0,100,100,4.61,IS
mineros,-17.1167,-63.2333,67.87,scattered clouds,0.0,0.0,66,27,4.27,BO
lavrentiya,65.5833,-171.0,40.62,overcast clouds,0.0,0.0,79,100,17.18,RU
noumea,-22.2763,166.4572,84.18,overcast clouds,0.0,0.0,99,100,4.72,NC
oranjemund,-28.55,16.4333,53.55,clear sky,0.0,0.0,84,0,5.1,NA
rio verde de mato grosso,-18.9181,-54.8442,73.17,clear sky,0.0,0.0,34,5,3.36,BR
petropavlovsk-kamchatskiy,53.0452,158.6483,66.79,light rain,0.61,0.0,73,75,15.66,RU
port hardy,50.6996,-127.4199,60.98,few clouds,0.0,0.0,72,20,12.66,CA
sobolevo,54.4299,31.8996,52.57,clear sky,0.0,0.0,95,0,7.83,RU
herat,34.5,62.0,81.39,clear sky,0.0,0.0,12,0,9.15,AF
shingu,33.7333,135.9833,83.52,broken clouds,0.0,0.0,77,64,2.95,JP
lalibela,12.0333,39.0333,58.12,few clouds,0.0,0.0,83,20,0.89,ET
warragul,-38.1667,145.9333,65.44,clear sky,0.0,0.0,74,0,7.0,AU
hualmay,-11.0964,-77.6139,61.41,clear sky,0.0,0.0,83,5,12.19,PE
karasjok,69.4719,25.5112,54.19,overcast clouds,0.0,0.0,89,91,5.44,NO
sao joao da barra,-21.6403,-41.0511,69.66,clear sky,0.0,0.0,87,0,6.93,BR
liku,-0.7275,119.8922,85.73,few clouds,0.0,0.0,64,18,2.35,ID
valparaiso,-33.0393,-71.6273,50.47,clear sky,0.0,0.0,87,0,5.75,CL
swan hill,-35.3378,143.5544,61.3,broken clouds,0.0,0.0,53,78,16.93,AU
haapiti,-17.5667,-149.8667,78.53,light rain,0.21,0.0,72,6,7.76,PF
haines junction,60.7522,-137.5108,62.55,overcast clouds,0.0,0.0,42,97,11.5,CA
letterkenny,54.95,-7.7333,51.15,overcast clouds,0.0,0.0,89,100,1.41,IE
obsharovka,53.125,48.8531,60.64,overcast clouds,0.0,0.0,88,88,5.26,RU
bathurst,-33.4166,149.5806,60.82,broken clouds,0.0,0.0,69,60,16.24,AU
kuito,-12.3833,16.9333,51.44,clear sky,0.0,0.0,49,10,3.69,AO
tautira,-17.7333,-149.15,74.95,light rain,0.38,0.0,79,10,12.53,PF
kang,-23.6752,22.7876,52.88,clear sky,0.0,0.0,61,0,7.31,BW
lipin bor,60.2622,37.9763,58.77,scattered clouds,0.0,0.0,85,46,4.21,RU
ostrovnoy,68.0531,39.5131,59.83,broken clouds,0.0,0.0,84,61,6.67,RU
nabire,-3.3667,135.4833,83.21,few clouds,0.0,0.0,73,13,3.76,ID
mogadishu,2.0371,45.3438,75.4,light rain,0.5,0.0,86,40,18.92,SO
cascavel,-24.9558,-53.4553,60.84,overcast clouds,0.0,0.0,84,89,5.84,BR
tahta,26.7693,31.5021,80.44,clear sky,0.0,0.0,35,2,8.84,EG
gurupa,-1.405,-51.64,75.45,scattered clouds,0.0,0.0,84,48,2.46,BR
taltal,-25.4,-70.4833,58.26,few clouds,0.0,0.0,87,12,3.74,CL
yuanping,38.7153,112.7575,76.73,moderate rain,1.33,0.0,65,100,3.74,CN
rocha,-34.4833,-54.3333,46.99,overcast clouds,0.0,0.0,94,100,3.18,UY
moron,-34.6534,-58.6198,53.35,few clouds,0.0,0.0,93,22,5.53,AR
dawson creek,55.7666,-120.2362,64.04,broken clouds,0.0,0.0,52,75,5.75,CA
tocopilla,-22.092,-70.1979,61.66,broken clouds,0.0,0.0,76,84,6.53,CL
provideniya,64.3833,-173.3,46.51,broken clouds,0.0,0.0,76,75,27.0,RU
arroio grande,-32.2375,-53.0869,59.14,overcast clouds,0.0,0.0,97,100,5.57,BR
nichinan,31.6,131.3667,89.28,clear sky,0.0,0.0,57,3,10.65,JP
yeppoon,-23.1333,150.7333,69.58,few clouds,0.0,0.0,68,18,15.26,AU
altay,47.8667,88.1167,71.38,overcast clouds,0.0,0.0,44,98,1.43,CN
meadow lake,34.8014,-106.5436,90.84,scattered clouds,0.0,0.0,29,36,14.36,US
batagay,67.6333,134.6333,70.5,broken clouds,0.0,0.0,46,81,4.83,RU
terra roxa,-23.8557,-50.0314,62.73,overcast clouds,0.0,0.0,78,100,3.56,BR
vilhena,-12.7406,-60.1458,67.66,clear sky,0.0,0.0,51,2,2.59,BR
mana,5.6592,-53.7767,77.31,broken clouds,0.0,0.0,88,65,8.16,GF
port keats,-14.25,129.55,81.77,scattered clouds,0.0,0.0,25,42,9.28,AU
nyurba,63.2842,118.3319,68.99,clear sky,0.0,0.0,65,8,5.28,RU
maryborough,-25.5333,152.7,60.84,light rain,0.97,0.0,96,100,10.8,AU
agadez,19.75,10.25,85.87,overcast clouds,0.0,0.0,20,100,1.05,NE
salalah,17.0151,54.0924,75.29,overcast clouds,0.0,0.0,94,100,5.75,OM
maragogi,-9.0122,-35.2225,73.31,overcast clouds,0.0,0.0,90,100,7.83,BR
baoding,38.8511,115.4903,87.06,overcast clouds,0.0,0.0,51,100,3.56,CN
pisco,-13.7,-76.2167,62.65,overcast clouds,0.0,0.0,77,100,2.3,PE
solnechnyy,50.7214,136.6319,55.44,overcast clouds,0.0,0.0,94,100,7.65,RU
riyadh,24.6877,46.7219,89.74,scattered clouds,0.0,0.0,12,27,7.94,SA
joshimath,30.5667,79.5667,75.65,light rain,0.86,0.0,74,100,2.08,IN
jerusalem,31.769,35.2163,68.72,clear sky,0.0,0.0,86,0,3.0,IL
te anau,-45.4167,167.7167,44.46,broken clouds,0.0,0.0,85,60,1.14,NZ
sisimiut,66.9395,-53.6735,47.95,overcast clouds,0.0,0.0,79,100,11.3,GL
dong hoi,17.4833,106.6,84.61,overcast clouds,0.0,0.0,65,92,0.38,VN
nambucca heads,-30.65,153.0,66.2,overcast clouds,0.0,0.0,80,100,16.2,AU
khani,41.9563,42.9566,58.57,overcast clouds,0.0,0.0,99,100,0.58,GE
susanville,40.4163,-120.653,89.44,clear sky,0.0,0.0,13,0,12.66,US
grenville,12.1167,-61.6167,80.65,broken clouds,0.0,0.0,73,80,17.9,GD
bondo,3.8146,23.6866,69.03,heavy intensity rain,4.67,0.0,100,100,1.07,CD
minuwangoda,7.1663,79.9533,80.53,scattered clouds,0.0,0.0,89,40,9.22,LK
bhimavaram,16.5333,81.5333,82.63,overcast clouds,0.0,0.0,77,100,6.44,IN
lasa,46.6166,10.7002,68.88,few clouds,0.0,0.0,87,24,2.64,IT
funehiki,37.4333,140.5833,76.17,overcast clouds,0.0,0.0,98,100,1.72,JP
streator,41.1209,-88.8354,77.85,clear sky,0.0,0.0,85,0,8.08,US
eyl,7.9803,49.8164,76.1,broken clouds,0.0,0.0,71,71,18.88,SO
winslow,35.0242,-110.6974,95.18,clear sky,0.0,0.0,20,0,23.02,US
cedar city,37.6775,-113.0619,90.57,clear sky,0.0,0.0,17,0,4.61,US
namatanai,-3.6667,152.4333,84.47,overcast clouds,0.0,0.0,69,96,5.68,PG
nakamura,32.9833,132.9333,85.73,clear sky,0.0,0.0,54,2,8.61,JP
nelson bay,-32.7167,152.15,65.08,broken clouds,0.0,0.0,79,64,15.99,AU
kyzyl-suu,42.3414,78.0056,70.57,clear sky,0.0,0.0,37,0,1.3,KG
badou,7.5833,0.6,71.29,broken clouds,0.0,0.0,87,80,1.9,TG
madang,-5.2246,145.7966,84.43,clear sky,0.0,0.0,65,7,4.43,PG
bairiki,1.3292,172.9752,80.6,scattered clouds,0.0,0.0,89,40,3.44,KI
mongo,12.1844,18.693,74.41,overcast clouds,0.0,0.0,86,100,8.5,TD
pailon,-17.65,-62.75,72.5,overcast clouds,0.0,0.0,54,90,6.91,BO
vila franca do campo,37.7167,-25.4333,70.2,scattered clouds,0.0,0.0,83,38,2.55,PT
pangkalanbuun,-2.6833,111.6167,81.23,overcast clouds,0.0,0.0,86,93,3.69,ID
tezu,27.9167,96.1667,76.53,overcast clouds,0.0,0.0,98,100,1.12,IN
simpang,-1.2667,104.0833,79.0,overcast clouds,0.0,0.0,90,100,3.06,ID
ponta delgada,37.7333,-25.6667,70.5,few clouds,0.0,0.0,88,20,2.3,PT
yelanskiy,56.8419,62.5014,57.47,few clouds,0.0,0.0,88,21,5.19,RU
kathmandu,27.7167,85.3167,71.82,broken clouds,0.0,0.0,94,75,2.3,NP
nuuk,64.1835,-51.7216,54.21,broken clouds,0.0,0.0,71,75,4.61,GL
carutapera,-1.195,-46.02,74.35,scattered clouds,0.0,0.0,92,39,5.46,BR
key west,24.5557,-81.7826,89.6,clear sky,0.0,0.0,62,0,9.22,US
tolaga bay,-38.3667,178.3,50.43,overcast clouds,0.0,0.0,75,98,18.5,NZ
garachine,8.0647,-78.3628,77.31,overcast clouds,0.0,0.0,88,100,5.12,PA
olafsvik,64.8945,-23.7142,52.03,overcast clouds,0.0,0.0,88,100,5.35,IS
bay roberts,47.5999,-53.2648,61.52,few clouds,0.0,0.0,88,11,1.99,CA
gbarnga,6.9956,-9.4722,69.37,overcast clouds,0.0,0.0,98,100,1.63,LR
mumford,5.2618,-0.759,73.11,broken clouds,0.0,0.0,83,61,6.51,GH
ayan,56.45,138.1667,58.59,overcast clouds,0.0,0.0,87,100,6.2,RU
honiara,-9.4333,159.95,87.15,broken clouds,0.0,0.0,60,84,5.28,SB
khaniotis,39.9991,23.58,78.01,clear sky,0.0,0.0,55,0,5.28,GR
paita,-5.0892,-81.1144,64.15,few clouds,0.0,0.0,79,12,14.5,PE
san juan bautista,-14.0108,-75.7358,59.32,clear sky,0.0,0.0,79,0,1.92,PE
mahebourg,-20.4081,57.7,70.09,scattered clouds,0.0,0.0,73,40,11.5,MU
fukue,32.6881,128.8419,82.76,scattered clouds,0.0,0.0,61,40,10.36,JP
dunmore town,25.5,-76.65,82.69,clear sky,0.0,0.0,77,2,16.33,BS
carhuaz,-9.2819,-77.6447,56.53,scattered clouds,0.0,0.0,61,25,1.57,PE
velingara,13.15,-14.1167,74.71,heavy intensity rain,4.39,0.0,96,100,6.6,SN
bilma,18.6853,12.9164,89.6,broken clouds,0.0,0.0,32,83,8.39,NE
owosso,42.9978,-84.1766,79.2,clear sky,0.0,0.0,70,0,3.44,US
coquimbo,-29.9533,-71.3436,55.13,overcast clouds,0.0,0.0,87,100,2.3,CL
maniitsoq,65.4167,-52.9,44.91,overcast clouds,0.0,0.0,90,100,6.55,GL
buala,-8.145,159.5921,85.64,light rain,0.11,0.0,67,89,2.95,SB
isangel,-19.55,169.2667,81.09,few clouds,0.0,0.0,65,17,13.53,VU
bud,39.447,-86.1758,80.58,clear sky,0.0,0.0,77,0,7.25,US
necochea,-38.5473,-58.7368,46.36,overcast clouds,0.0,0.0,39,100,5.59,AR
kamenka,51.3223,42.7678,55.87,light rain,0.2,0.0,95,100,6.06,RU
turkistan,43.0,68.0,94.28,clear sky,0.0,0.0,16,0,8.93,KZ
casablanca,33.5928,-7.6192,75.42,overcast clouds,0.0,0.0,80,91,5.28,MA
kasempa,-13.4584,25.8338,61.86,overcast clouds,0.0,0.0,56,93,7.45,ZM
hazorasp,41.3194,61.0742,82.24,clear sky,0.0,0.0,16,0,8.93,UZ
maceio,-9.6658,-35.7353,76.44,broken clouds,0.0,0.0,88,75,3.44,BR
butembo,0.15,29.2833,59.45,overcast clouds,0.0,0.0,76,99,2.57,CD
preobrazheniye,42.9019,133.9064,65.07,overcast clouds,0.0,0.0,93,100,9.26,RU
kapit,2.0167,112.9333,76.96,overcast clouds,0.0,0.0,92,100,2.19,MY
urumqi,43.801,87.6005,85.15,clear sky,0.0,0.0,19,0,2.24,CN
pochutla,15.7432,-96.4661,79.83,overcast clouds,0.0,0.0,90,100,2.55,MX
beipiao,41.7919,120.7792,83.28,clear sky,0.0,0.0,54,5,8.16,CN
omboue,-1.5746,9.2618,70.79,overcast clouds,0.0,0.0,92,100,7.83,GA
sargatskoye,55.6101,73.4972,59.95,broken clouds,0.0,0.0,88,80,11.52,RU
kalmunai,7.4167,81.8167,80.13,light rain,0.13,0.0,81,84,5.64,LK
port macquarie,-31.4333,152.9167,60.89,overcast clouds,0.0,0.0,81,96,15.43,AU
maputo,-25.9653,32.5892,64.29,broken clouds,0.0,0.0,91,56,6.91,MZ
monster,52.0258,4.175,63.95,overcast clouds,0.0,0.0,71,100,1.99,NL
chadiza,-14.0678,32.4392,54.54,clear sky,0.0,0.0,75,5,2.51,ZM
tafresh,34.692,50.013,72.25,clear sky,0.0,0.0,16,0,4.09,IR
romodanovo,54.4275,45.3296,57.49,light rain,0.5,0.0,97,76,7.4,RU
sabang,5.8933,95.3214,82.99,overcast clouds,0.0,0.0,73,100,12.8,ID
dudinka,69.4058,86.1778,61.63,few clouds,0.0,0.0,55,11,10.71,RU
russell,32.3502,-85.1999,74.48,scattered clouds,0.0,0.0,94,40,0.0,US
senador guiomard,-10.1522,-67.7392,71.35,clear sky,0.0,0.0,50,3,0.83,BR
yenotayevka,47.2456,47.0281,70.38,clear sky,0.0,0.0,60,5,3.65,RU
darnah,32.767,22.6367,76.55,clear sky,0.0,0.0,76,0,15.99,LY
kununurra,-15.7667,128.7333,84.18,clear sky,0.0,0.0,17,0,8.05,AU
wellington,-41.2866,174.7756,51.46,scattered clouds,0.0,0.0,81,40,25.32,NZ
goure,13.9835,10.2704,81.01,overcast clouds,0.0,0.0,59,99,5.73,NE
bolshaya dzhalga,45.9695,42.6966,59.56,clear sky,0.0,0.0,71,0,8.32,RU
dafeng,23.4517,108.5881,86.05,clear sky,0.0,0.0,70,3,5.93,CN
tekirdag,40.978,27.5085,65.55,clear sky,0.0,0.0,82,0,5.82,TR
espanola,35.9911,-106.0806,84.87,scattered clouds,0.0,0.0,31,32,5.12,US
alekseyevsk,57.8406,108.3492,72.16,overcast clouds,0.0,0.0,54,100,6.46,RU
lorengau,-2.0226,147.2712,84.94,broken clouds,0.0,0.0,70,56,10.71,PG
xam nua,20.4197,104.0439,72.75,overcast clouds,0.0,0.0,86,94,2.46,LA
carlsbad,33.1581,-117.3506,83.8,clear sky,0.0,0.0,78,0,8.05,US
lata,40.1629,-8.3327,57.51,scattered clouds,0.0,0.0,95,42,0.96,PT
skibbereen,51.55,-9.2667,53.11,few clouds,0.0,0.0,87,19,2.82,IE
gushikawa,26.3544,127.8686,89.19,few clouds,0.0,0.0,77,20,10.36,JP
nieves,15.3274,120.9485,89.11,few clouds,0.0,0.0,65,12,3.04,PH
cap-chat,49.1001,-66.6821,59.0,overcast clouds,0.0,0.0,94,100,5.75,CA
korem,12.5058,39.5228,57.24,clear sky,0.0,0.0,77,7,7.47,ET
sabha,27.0377,14.4283,77.63,clear sky,0.0,0.0,33,0,9.44,LY
cairns,-16.9167,145.7667,81.1,broken clouds,0.0,0.0,64,75,4.61,AU
qandala,11.472,49.8728,87.67,few clouds,0.0,0.0,45,14,8.88,SO
barra do garcas,-15.89,-52.2567,70.68,clear sky,0.0,0.0,44,5,1.77,BR
ostersund,63.1792,14.6357,52.25,overcast clouds,0.0,0.0,87,100,9.22,SE
cabinda,-5.55,12.2,69.4,overcast clouds,0.0,0.0,90,97,7.27,AO
tual,-5.6667,132.75,78.75,broken clouds,0.0,0.0,70,55,18.63,ID
kapurthala,31.3794,75.3847,80.64,overcast clouds,0.0,0.0,83,100,10.07,IN
havelock,34.8791,-76.9013,84.18,clear sky,0.0,0.0,92,0,12.66,US
cabo san lucas,22.8909,-109.9124,94.3,clear sky,0.0,0.0,48,0,4.61,MX
mezhdurechensk,53.6942,88.0603,59.81,moderate rain,1.02,0.0,97,100,4.23,RU
palmeira das missoes,-27.8994,-53.3136,62.67,overcast clouds,0.0,0.0,89,100,6.62,BR
babu,24.4167,111.5167,88.11,clear sky,0.0,0.0,67,1,2.62,CN
tambo grande,-4.9269,-80.3447,71.49,clear sky,0.0,0.0,59,10,7.85,PE
galle,6.0367,80.217,78.67,overcast clouds,0.0,0.0,87,100,11.95,LK
bardiyah,31.7561,25.0865,72.79,clear sky,0.0,0.0,72,0,7.63,LY
tara,56.8944,74.371,59.32,overcast clouds,0.0,0.0,94,95,9.8,RU
waipawa,-41.4122,175.5153,46.96,overcast clouds,0.0,0.0,73,94,12.28,NZ
kamaishi,39.2667,141.8833,72.18,light rain,0.36,0.0,99,100,6.38,JP
nipawin,53.3668,-104.0009,71.64,clear sky,0.0,0.0,46,0,9.22,CA
pag,44.445,15.0575,68.58,clear sky,0.0,0.0,53,0,9.37,HR
nampula,-15.1165,39.2666,62.55,mist,0.0,0.0,94,0,3.44,MZ
labuhan,-6.8844,112.2051,81.57,overcast clouds,0.0,0.0,68,100,8.86,ID
puli,23.9664,120.9695,86.86,clear sky,0.0,0.0,52,0,4.92,TW
awjilah,29.1081,21.2869,74.34,clear sky,0.0,0.0,40,0,9.35,LY
lompoc,34.6391,-120.4579,66.85,mist,0.0,0.0,83,100,20.0,US
marsh harbour,26.5412,-77.0636,82.76,clear sky,0.0,0.0,75,3,14.85,BS
bontang,0.1333,117.5,81.75,overcast clouds,0.0,0.0,78,86,1.61,ID
pitimbu,-7.4706,-34.8086,72.19,overcast clouds,0.0,0.0,86,100,6.46,BR
warri,5.5167,5.75,73.62,overcast clouds,0.0,0.0,89,98,3.33,NG
balad,34.0164,44.1453,89.33,clear sky,0.0,0.0,20,0,10.38,IQ
cap malheureux,-19.9842,57.6142,69.48,scattered clouds,0.0,0.0,71,39,7.0,MU
wenling,28.3669,121.36,87.49,scattered clouds,0.0,0.0,73,35,4.14,CN
bintulu,3.1667,113.0333,82.81,scattered clouds,0.0,0.0,83,40,3.44,MY
milkovo,54.7167,158.6167,74.35,scattered clouds,0.0,0.0,51,32,5.68,RU
mountain home,43.133,-115.6912,96.28,clear sky,0.0,0.0,8,0,16.11,US
mildura,-34.2,142.15,62.08,overcast clouds,0.0,0.0,61,96,18.63,AU
iquitos,-3.7481,-73.2472,73.44,broken clouds,0.0,0.0,100,75,2.3,PE
hammerfest,70.6634,23.6821,52.25,broken clouds,0.0,0.0,100,75,4.61,NO
bathsheba,13.2167,-59.5167,83.01,scattered clouds,0.0,0.0,88,40,18.41,BB
abu dhabi,24.4667,54.3667,95.11,clear sky,0.0,0.0,62,0,3.44,AE
walvis bay,-22.9575,14.5053,56.35,clear sky,0.0,0.0,58,0,2.3,NA
yakovlevskoye,55.4419,37.9506,61.05,clear sky,0.0,0.0,79,0,13.42,RU
tessalit,20.1986,1.0114,87.42,clear sky,0.0,0.0,36,0,6.73,ML
seymchan,62.8833,152.4333,64.29,clear sky,0.0,0.0,45,10,3.2,RU
samarai,-10.6167,150.6667,83.12,clear sky,0.0,0.0,71,4,5.06,PG
souillac,-20.5167,57.5167,70.18,scattered clouds,0.0,0.0,73,40,11.5,MU
caudry,50.1249,3.4119,55.98,broken clouds,0.0,0.0,95,64,7.72,FR
marovoay,-16.1,46.6333,61.5,clear sky,0.0,0.0,73,0,5.91,MG
bamako,12.65,-8.0,75.61,few clouds,0.0,0.0,100,20,4.61,ML
aranda de duero,41.6704,-3.6892,69.93,broken clouds,0.0,0.0,27,57,5.97,ES
ayorou,14.7308,0.9174,88.84,overcast clouds,0.0,0.0,46,93,6.82,NE
port blair,11.6667,92.75,80.64,light rain,0.16,0.0,89,75,4.61,IN
atambua,-9.1061,124.8925,80.73,scattered clouds,0.0,0.0,46,31,3.76,ID
eregli,37.5133,34.0467,60.44,clear sky,0.0,0.0,43,0,2.86,TR
mto wa mbu,-3.35,35.85,61.48,broken clouds,0.0,0.0,86,84,3.65,TZ
ubauro,28.1652,69.7289,88.05,overcast clouds,0.0,0.0,66,89,4.76,PK
puerto escondido,15.85,-97.0667,81.54,overcast clouds,0.0,0.0,83,87,2.39,MX
lebedyn,50.5852,34.4849,53.94,few clouds,0.0,0.0,97,18,9.08,UA
storsteinnes,69.2408,19.2344,52.38,overcast clouds,0.0,0.0,83,99,2.21,NO
carndonagh,55.25,-7.2667,51.26,overcast clouds,0.0,0.0,91,100,2.55,IE
hoima,1.4356,31.3436,67.8,overcast clouds,0.0,0.0,65,100,2.48,UG
vostok,46.4856,135.8833,62.94,overcast clouds,0.0,0.0,95,100,2.55,RU
paidha,2.4167,30.9855,59.47,light rain,0.25,0.0,93,100,3.38,UG
ballangen,68.3428,16.8315,52.02,light intensity drizzle,0.0,0.0,100,75,2.3,NO
saint-augustin,51.226,-58.6502,62.73,overcast clouds,0.0,0.0,65,96,6.2,CA
tommot,58.9564,126.2925,76.6,scattered clouds,0.0,0.0,60,49,3.36,RU
mecca,21.4267,39.8261,83.14,clear sky,0.0,0.0,59,6,3.67,SA
tipuani,-15.5648,-68.0185,67.03,broken clouds,0.0,0.0,86,59,2.1,BO
trinidad,-14.8333,-64.9,72.55,clear sky,0.0,0.0,47,4,3.51,BO
half moon bay,37.4636,-122.4286,78.91,mist,0.0,0.0,75,100,13.8,US
morro bay,35.3658,-120.8499,73.26,scattered clouds,0.0,0.0,29,50,5.99,US
umm kaddadah,13.6017,26.6876,76.46,broken clouds,0.0,0.0,58,70,7.05,SD
pemba,-12.974,40.5178,72.1,clear sky,0.0,0.0,77,0,12.73,MZ
teruel,40.6667,-0.6667,68.09,clear sky,0.0,0.0,49,0,7.9,ES
mulege,26.8833,-111.9833,93.52,clear sky,0.0,0.0,38,0,5.14,MX
pacific grove,36.6177,-121.9166,73.24,scattered clouds,0.0,0.0,85,40,9.22,US
kristiinankaupunki,62.2743,21.376,61.74,overcast clouds,0.0,0.0,96,100,6.02,FI
la romana,18.4273,-68.9728,77.36,broken clouds,0.0,0.0,94,75,6.91,DO
cordoba,-31.4135,-64.1811,53.76,clear sky,0.0,0.0,68,0,8.05,AR
la joya,18.6667,-99.4667,73.69,broken clouds,0.0,0.0,84,83,4.99,MX
conceicao do castelo,-20.3683,-41.2439,59.25,broken clouds,0.0,0.0,95,76,1.43,BR
pravia,43.4906,-6.1508,64.06,mist,0.0,0.0,100,100,3.44,ES
kargasok,59.0556,80.8572,58.95,overcast clouds,0.0,0.0,96,100,3.6,RU
magalia,39.8121,-121.5783,92.95,clear sky,0.0,0.0,16,0,1.01,US
buraydah,26.326,43.975,84.65,broken clouds,0.0,0.0,14,52,4.32,SA
ceres,37.5949,-120.9577,97.12,clear sky,0.0,0.0,21,0,17.27,US
quatre cocos,-20.2078,57.7625,69.91,broken clouds,0.0,0.0,70,82,17.54,MU
sant feliu de guixols,41.7833,3.0333,80.13,clear sky,0.0,0.0,59,0,8.19,ES
tawang,27.5833,91.8667,61.72,overcast clouds,0.0,0.0,82,100,3.31,IN
yerbogachen,61.2767,108.0108,72.43,clear sky,0.0,0.0,49,6,3.38,RU
okitipupa,6.5047,4.7839,71.83,broken clouds,0.0,0.0,96,56,2.35,NG
chapais,49.7834,-74.8492,64.18,overcast clouds,0.0,0.0,96,100,11.92,CA
lugovoy,42.9472,72.7644,85.82,clear sky,0.0,0.0,17,0,3.02,KZ
catamarca,-28.4696,-65.7852,66.78,few clouds,0.0,0.0,52,23,5.01,AR
guerrero negro,27.9769,-114.0611,69.73,clear sky,0.0,0.0,77,0,20.07,MX
constantine,36.365,6.6147,76.41,clear sky,0.0,0.0,60,0,0.0,DZ
naze,28.3667,129.4833,88.72,scattered clouds,0.0,0.0,76,29,13.58,JP
zhezkazgan,47.8043,67.7144,73.38,clear sky,0.0,0.0,38,0,13.42,KZ
kyshtovka,56.555,76.6271,58.86,overcast clouds,0.0,0.0,96,96,10.65,RU
beoumi,7.6736,-5.5764,69.42,overcast clouds,0.0,0.0,96,100,5.79,CI
kattivakkam,13.2167,80.3167,80.69,overcast clouds,0.0,0.0,91,100,12.48,IN
ust-tsilma,65.441,52.1498,52.47,broken clouds,0.0,0.0,55,57,5.77,RU
belle fourche,44.6714,-103.8522,86.09,clear sky,0.0,0.0,20,0,10.65,US
sechura,-5.5569,-80.8222,63.5,broken clouds,0.0,0.0,78,58,13.02,PE
orlik,52.5178,99.825,62.92,overcast clouds,0.0,0.0,55,100,0.49,RU
kidal,18.4411,1.4078,87.08,broken clouds,0.0,0.0,43,74,10.09,ML
vale da amoreira,39.0697,-7.6985,61.25,clear sky,0.0,0.0,81,3,4.85,PT
coahuayana,18.7333,-103.6833,80.74,overcast clouds,0.0,0.0,88,100,2.84,MX
hukuntsi,-24.0,21.75,54.25,clear sky,0.0,0.0,51,1,8.43,BW
erzin,36.9559,36.2,71.76,clear sky,0.0,0.0,76,0,2.66,TR
vardo,70.3705,31.1107,58.98,overcast clouds,0.0,0.0,94,100,9.22,NO
camacha,33.0833,-16.3333,65.62,broken clouds,0.0,0.0,73,75,14.97,PT
kushiro,42.975,144.3747,68.95,broken clouds,0.0,0.0,88,75,8.05,JP
sayat,38.7839,63.8803,82.27,clear sky,0.0,0.0,13,0,8.88,TM
presidencia roque saenz pena,-26.7852,-60.4388,73.56,overcast clouds,0.0,0.0,54,100,9.22,AR
zheleznodorozhnyy,55.7503,38.0042,60.98,few clouds,0.0,0.0,88,11,9.26,RU
saint-joseph,-21.3667,55.6167,64.2,scattered clouds,0.0,0.0,69,26,10.63,RE
taos,36.4072,-105.5731,75.2,clear sky,0.0,0.0,43,0,16.11,US
aneho,6.2333,1.6,75.0,overcast clouds,0.0,0.0,78,94,10.31,TG
farafangana,-22.8167,47.8333,63.09,light rain,0.15,0.0,89,26,3.83,MG
